"ITC No",H-M,n:c,"Univ HM",Hall,Shmueli,Note
1,P1,1,P1,"P 1",PAN$P1A000,
1,A1,1:1,A1,"A 1",AAN$P1A000,"Added by S.G."
1,B1,1:2,B1,"B 1",BAN$P1A000,"Added by S.G."
1,C1,1:3,C1,"C 1",CAN$P1A000,"Added by S.G."
1,F1,1:4,F1,"F 1",FAN$P1A000,"Added by S.G."
1,I1,1:5,I1,"I 1",IAN$P1A000,"Added by S.G."
2,P-1,2,P-1,"-P 1",PAC$I1A000,
2,A-1,2:1,A-1,"-A 1",AAN$I1A000,"Added by S.G."
2,B-1,2:2,B-1,"-B 1",BAN$I1A000,"Added by S.G."
2,C-1,2:3,C-1,"-C 1",CAN$I1A000,"Added by S.G."
2,F-1,2:4,F-1,"-F 1",FAN$I1A000,"Added by S.G."
2,I-1,2:5,I-1,"-I 1",IAN$I1A000,"Added by S.G."
3,P2,3:a,P211,"P 2x",PMN$P2A000,"Added by S.G."
3,P2,3:b,P121,"P 2y",PMN$P2B000,
3,P2,3:c,P112,"P 2",PMN$P2C000,
4,P21,4:a,P2111,"P 2xa",PMN$P2A600,"Added by S.G."
4,P21,4:b,P1211,"P 2yb",PMN$P2B060,
4,P21,4:c,P1121,"P 2c",PMN$P2C006,
5,C2,5:a1,B211,"B 2x",BMN$P2A000,"Shmueli symbol added by S.G."
5,C2,5:a2,C211,"C 2x",CMN$P2A000,"Shmueli symbol added by S.G."
5,C2,5:a3,I211,"I 2x",IMN$P2A000,"Shmueli symbol added by S.G."
5,C2,5:b1,C121,"C 2y",CMN$P2B000,
5,C2,5:b2,A121,"A 2y",AMN$P2B000,
5,C2,5:b3,I121,"I 2y",IMN$P2B000,
5,C2,5:c1,A112,"A 2",AMN$P2C000,
5,C2,5:c2,B112,"B 2",BMN$P2C000,
5,C2,5:c3,I112,"I 2",IMN$P2C000,
6,Pm,6:a,Pm11,"P -2x",PMN$I2A000,"Shmueli symbol added by S.G."
6,Pm,6:b,P1m1,"P -2y",PMN$I2B000,
6,Pm,6:c,P11m,"P -2",PMN$I2C000,
7,Pc,7:a1,Pb11,"P -2xb",PMN$I2A060,"Shmueli symbol added by S.G."
7,Pc,7:a2,Pn11,"P -2xbc",PMN$I2A066,"Shmueli symbol added by S.G."
7,Pc,7:a3,Pc11,"P -2xc",PMN$I2A006,"Shmueli symbol added by S.G."
7,Pc,7:b1,P1c1,"P -2yc",PMN$I2B006,
7,Pc,7:b2,P1n1,"P -2yac",PMN$I2B606,
7,Pc,7:b3,P1a1,"P -2ya",PMN$I2B600,
7,Pc,7:c1,P11a,"P -2a",PMN$I2C600,
7,Pc,7:c2,P11n,"P -2ab",PMN$I2C660,
7,Pc,7:c3,P11b,"P -2b",PMN$I2C060,
8,Cm,8:a1,Bm11,"B -2x",BMN$I2A000,"Shmueli symbol added by S.G."
8,Cm,8:a2,Cm11,"C -2x",CMN$I2A000,"Shmueli symbol added by S.G."
8,Cm,8:a3,Im11,"I -2x",IMN$I2A000,"Shmueli symbol added by S.G."
8,Cm,8:b1,C1m1,"C -2y",CMN$I2B000,
8,Cm,8:b2,A1m1,"A -2y",AMN$I2B000,
8,Cm,8:b3,I1m1,"I -2y",IMN$I2B000,
8,Cm,8:c1,A11m,"A -2",AMN$I2C000,
8,Cm,8:c2,B11m,"B -2",BMN$I2C000,
8,Cm,8:c3,I11m,"I -2",IMN$I2C000,
9,Cc,9:-a1,Cc11,"C -2xc",CMN$I2A006,"Shmueli symbol added by S.G."
9,Cc,9:-a2,Bn11,"B -2xab",BMN$I2A660,"Shmueli symbol added by S.G."
9,Cc,9:-a3,Ib11,"I -2xb",IMN$I2A060,"Shmueli symbol added by S.G."
9,Cc,9:-b1,A1a1,"A -2ya",AMN$I2B600,"Shmueli symbol added by S.G."
9,Cc,9:-b2,C1n1,"C -2yac",CMN$I2B606,"Shmueli symbol added by S.G."
9,Cc,9:-b3,I1c1,"I -2yc",IMN$I2B006,"Shmueli symbol added by S.G."
9,Cc,9:-c1,B11b,"B -2b",BMN$I2C060,"Shmueli symbol added by S.G."
9,Cc,9:-c2,A11n,"A -2ab",AMN$I2C660,"Shmueli symbol added by S.G."
9,Cc,9:-c3,I11a,"I -2a",IMN$I2C600,"Shmueli symbol added by S.G."
9,Cc,9:a1,Bb11,"B -2xb",BMN$I2A060,"Shmueli symbol added by S.G."
9,Cc,9:a2,Cn11,"C -2xac",CMN$I2A606,"Shmueli symbol added by S.G."
9,Cc,9:a3,Ic11,"I -2xc",IMN$I2A006,"Shmueli symbol added by S.G."
9,Cc,9:b1,C1c1,"C -2yc",CMN$I2B006,
9,Cc,9:b2,A1n1,"A -2yab",AMN$I2B606,
9,Cc,9:b3,I1a1,"I -2ya",IMN$I2B600,
9,Cc,9:c1,A11a,"A -2a",AMN$I2C600,
9,Cc,9:c2,B11n,"B -2ab",BMN$I2C660,
9,Cc,9:c3,I11b,"I -2b",IMN$I2C060,
10,P2/m,10:a,P2/m11,"-P 2x",PMC$I1A000$P2A000,"Shmueli symbol added by S.G."
10,P2/m,10:b,P12/m1,"-P 2y",PMC$I1A000$P2B000,
10,P2/m,10:c,P112/m,"-P 2",PMC$I1A000$P2C000,
11,P21/m,11:a,P21/m11,"-P 2xa",PMC$I1A000$P2A600,"Shmueli symbol added by S.G."
11,P21/m,11:b,P121/m1,"-P 2yb",PMC$I1A000$P2B060,
11,P21/m,11:c,P1121/m,"-P 2c",PMC$I1A000$P2C006,
12,C2/m,12:a1,B2/m11,"-B 2x",BMC$I1A000$P2A000,"Shmueli symbol added by S.G."
12,C2/m,12:a2,C2/m11,"-C 2x",CMC$I1A000$P2A000,"Shmueli symbol added by S.G."
12,C2/m,12:a3,I2/m11,"-I 2x",IMC$I1A000$P2A000,"Shmueli symbol added by S.G."
12,C2/m,12:b1,C12/m1,"-C 2y",CMC$I1A000$P2B000,
12,C2/m,12:b2,A12/m1,"-A 2y",AMC$I1A000$P2B000,
12,C2/m,12:b3,I12/m1,"-I 2y",IMC$I1A000$P2B000,
12,C2/m,12:c1,A112/m,"-A 2",AMC$I1A000$P2C000,
12,C2/m,12:c2,B112/m,"-B 2",BMC$I1A000$P2C000,
12,C2/m,12:c3,I112/m,"-I 2",IMC$I1A000$P2C000,
13,P2/c,13:a1,P2/b11,"-P 2xb",PMC$I1A000$P2A060,"Shmueli symbol added by S.G."
13,P2/c,13:a2,P2/n11,"-P 2xbc",PMC$I1A000$P2A066,"Shmueli symbol added by S.G."
13,P2/c,13:a3,P2/c11,"-P 2xc",PMC$I1A000$P2A006,"Shmueli symbol added by S.G."
13,P2/c,13:b1,P12/c1,"-P 2yc",PMC$I1A000$P2B006,
13,P2/c,13:b2,P12/n1,"-P 2yac",PMC$I1A000$P2B606,
13,P2/c,13:b3,P12/a1,"-P 2ya",PMC$I1A000$P2B600,
13,P2/c,13:c1,P112/a,"-P 2a",PMC$I1A000$P2C600,
13,P2/c,13:c2,P112/n,"-P 2ab",PMC$I1A000$P2C660,
13,P2/c,13:c3,P112/b,"-P 2b",PMC$I1A000$P2C060,
14,P21/c,14:a1,P21/b11,"-P 2xab",PMC$I1A000$P2A660,"Shmueli symbol added by S.G."
14,P21/c,14:a2,P21/n11,"-P 2xn",PMC$I1A000$P2A666,"Shmueli symbol added by S.G."
14,P21/c,14:a3,P21/c11,"-P 2xac",PMC$I1A000$P2A606,"Shmueli symbol added by S.G."
14,P21/c,14:b1,P121/c1,"-P 2ybc",PMC$I1A000$P2B066,
14,P21/c,14:b2,P121/n1,"-P 2yn",PMC$I1A000$P2B666,
14,P21/c,14:b3,P121/a1,"-P 2yab",PMC$I1A000$P2B660,
14,P21/c,14:c1,P1121/a,"-P 2ac",PMC$I1A000$P2C606,
14,P21/c,14:c2,P1121/n,"-P 2n",PMC$I1A000$P2C666,
14,P21/c,14:c3,P1121/b,"-P 2bc",PMC$I1A000$P2C066,
15,C1/c,15:-a1,C2/c11,"-C 2xc",CMC$I1A000$P2A006,"Shmueli symbol added by S.G."
15,C1/c,15:-a2,B2/n11,"-B 2xab",BMC$I1A000$P2A660,"Shmueli symbol added by S.G."
15,C1/c,15:-a3,I2/b11,"-I 2xb",IMC$I1A000$P2A060,"Shmueli symbol added by S.G."
15,C1/c,15:-b1,A12/a1,"-A 2ya",AMC$I1A000$P2B600,"Shmueli symbol added by S.G."
15,C1/c,15:-b2,C12/n1,"-C 2yac",CMC$I1A000$P2B606,"Shmueli symbol added by S.G."
15,C1/c,15:-b3,I12/c1,"-I 2yc",IMC$I1A000$P2B006,"Shmueli symbol added by S.G."
15,C1/c,15:-c1,B112/b,"-B 2b",BMC$I1A000$P2C060,"Shmueli symbol added by S.G."
15,C1/c,15:-c2,A112/n,"-A 2ab",AMC$I1A000$P2C660,"Shmueli symbol added by S.G."
15,C1/c,15:-c3,I112/a,"-I 2a",IMC$I1A000$P2C600,"Shmueli symbol added by S.G."
15,C1/c,15:a1,B2/b11,"-B 2xb",BMC$I1A000$P2A060,"Shmueli symbol added by S.G."
15,C1/c,15:a2,C2/n11,"-C 2xac",CMC$I1A000$P2A606,"Shmueli symbol added by S.G."
15,C1/c,15:a3,I2/c11,"-I 2xc",IMC$I1A000$P2A006,"Shmueli symbol added by S.G."
15,C1/c,15:b1,C12/c1,"-C 2yc",CMC$I1A000$P2B006,
15,C1/c,15:b2,A12/n1,"-A 2yab",AMC$I1A000$P2B606,
15,C1/c,15:b3,I12/a1,"-I 2ya",IMC$I1A000$P2B600,
15,C1/c,15:c1,A112/a,"-A 2a",AMC$I1A000$P2C600,
15,C1/c,15:c2,B112/n,"-B 2ab",BMC$I1A000$P2C660,
15,C1/c,15:c3,I112/b,"-I 2b",IMC$I1A000$P2C060,
16,P222,16,P222,"P 2 2",PON$P2C000$P2A000,
17,P2221,17,P2221,"P 2c 2",PON$P2C006$P2A000,
17,P2221,17:bca,P2212,"P 2 2b",PON$P2C000$P2A060,"Shmueli symbol added by S.G."
17,P2221,17:cab,P2122,"P 2a 2a",PON$P2C600$P2A600,"Shmueli symbol added by S.G."
18,P21212,18,P21212,"P 2 2ab",PON$P2C000$P2A660,
18,P21212,18:bca,P21221,"P 2ac 2ac",PON$P2C606$P2A606,"Shmueli symbol added by S.G."
18,P21212,18:cab,P22121,"P 2bc 2",PON$P2C066$P2A000,"Shmueli symbol added by S.G."
19,P212121,19,P212121,"P 2ac 2ab",PON$P2C606$P2A660,
20,C2221,20,C2221,"C 2c 2",CON$P2C006$P2A000,
20,C2221,20:bca,B2212,"B 2 2b",BON$P2C000$P2A060,"Shmueli symbol added by S.G."
20,C2221,20:cab,A2122,"A 2a 2a",AON$P2C600$P2A600,"Shmueli symbol added by S.G."
21,C222,21,C222,"C 2 2",CON$P2C000$P2A000,
21,C222,21:bca,B222,"B 2 2",BON$P2C000$P2A000,"Shmueli symbol added by S.G."
21,C222,21:cab,A222,"A 2 2",AON$P2C000$P2A000,"Shmueli symbol added by S.G."
22,F222,22,F222,"F 2 2",FON$P2C000$P2A000,
23,I222,23,I222,"I 2 2",ION$P2C000$P2A000,
24,I212121,24,I212121,"I 2b 2c",ION$P2C606$P2A660,
25,Pmm2,25,Pmm2,"P 2 -2",PON$P2C000$I2A000,
25,Pmm2,25:bca,Pm2m,"P -2 -2",PON$I2C000$I2A000,"Shmueli symbol added by S.G."
25,Pmm2,25:cab,P2mm,"P -2 2",PON$I2C000$P2A000,"Shmueli symbol added by S.G."
26,Pmc21,26,Pmc21,"P 2c -2",PON$P2C006$I2A000,
26,Pmc21,26:-cba,P21am,"P -2 2a",PON$I2C000$P2A600,"Shmueli symbol added by S.G."
26,Pmc21,26:a-cb,Pm21b,"P -2b -2",PON$I2C060$I2A000,"Shmueli symbol added by S.G."
26,Pmc21,26:ba-c,Pcm21,"P 2c -2c",PON$P2C006$I2A006,"Shmueli symbol added by S.G."
26,Pmc21,26:bca,Pb21m,"P -2 -2b",PON$I2C000$I2A060,"Shmueli symbol added by S.G."
26,Pmc21,26:cab,P21ma,"P -2a 2a",PON$I2C600$P2A600,"Shmueli symbol added by S.G."
27,Pcc2,27,Pcc2,"P 2 -2c",PON$P2C000$I2A006,
27,Pcc2,27:bca,Pb2b,"P -2b -2b",PON$I2C060$I2A060,"Shmueli symbol added by S.G."
27,Pcc2,27:cab,P2aa,"P -2a 2",PON$I2C600$P2A000,"Shmueli symbol added by S.G."
28,Pma2,28,Pma2,"P 2 -2a",PON$P2C000$I2A600,
28,Pma2,28:-cba,P2cm,"P -2c 2",PON$I2C006$P2A000,"Shmueli symbol added by S.G."
28,Pma2,28:a-cb,Pm2a,"P -2a -2a",PON$I2C600$I2A600,"Shmueli symbol added by S.G."
28,Pma2,28:ba-c,Pbm2,"P 2 -2b",PON$P2C000$I2A060,"Shmueli symbol added by S.G."
28,Pma2,28:bca,Pc2m,"P -2c -2c",PON$I2C006$I2A006,"Shmueli symbol added by S.G."
28,Pma2,28:cab,P2mb,"P -2b 2",PON$I2C060$P2A000,"Shmueli symbol added by S.G."
29,Pca21,29,Pca21,"P 2c -2ac",PON$P2C006$I2A606,
29,Pca21,29:-cba,P21ca,"P -2ac 2a",PON$I2C606$P2A600,"Shmueli symbol added by S.G."
29,Pca21,29:a-cb,Pb21a,"P -2a -2ab",PON$I2C600$I2A660,"Shmueli symbol added by S.G."
29,Pca21,29:ba-c,Pbc21,"P 2c -2b",PON$P2C006$I2A060,"Shmueli symbol added by S.G."
29,Pca21,29:bca,Pc21b,"P -2bc -2c",PON$I2C066$I2A006,"Shmueli symbol added by S.G."
29,Pca21,29:cab,P21ab,"P -2b 2a",PON$I2C060$P2A600,"Shmueli symbol added by S.G."
30,Pnc2,30,Pnc2,"P 2 -2bc",PON$P2C000$I2A066,
30,Pnc2,30:-cba,P2an,"P -2ab 2",PON$I2C660$P2A000,"Shmueli symbol added by S.G."
30,Pnc2,30:a-cb,Pn2b,"P -2bc -2bc",PON$I2C066$I2A066,"Shmueli symbol added by S.G."
30,Pnc2,30:ba-c,Pcn2,"P 2 -2ac",PON$P2C000$I2A606,"Shmueli symbol added by S.G."
30,Pnc2,30:bca,Pb2n,"P -2ab -2ab",PON$I2C660$I2A660,"Shmueli symbol added by S.G."
30,Pnc2,30:cab,P2na,"P -2ac 2",PON$I2C606$P2A000,"Shmueli symbol added by S.G."
31,Pmn21,31,Pmn21,"P 2ac -2",PON$P2C606$I2A000,
31,Pmn21,31:-cba,P21nm,"P -2 2ac",PON$I2C000$P2A606,"Shmueli symbol added by S.G."
31,Pmn21,31:a-cb,Pm21n,"P -2ab -2",PON$I2C660$I2A000,"Shmueli symbol added by S.G."
31,Pmn21,31:ba-c,Pnm21,"P 2bc -2bc",PON$P2C066$I2A066,"Shmueli symbol added by S.G."
31,Pmn21,31:bca,Pn21m,"P -2 -2bc",PON$I2C000$I2A066,"Shmueli symbol added by S.G."
31,Pmn21,31:cab,P21mn,"P -2ab 2ab",PON$I2C660$P2A660,"Shmueli symbol added by S.G."
32,Pba2,32,Pba2,"P 2 -2ab",PON$P2C000$I2A660,
32,Pba2,32:bca,Pc2a,"P -2ac -2ac",PON$I2C606$I2A606,"Shmueli symbol added by S.G."
32,Pba2,32:cab,P2cb,"P -2bc 2",PON$I2C066$P2A000,"Shmueli symbol added by S.G."
33,Pna21,33,Pna21,"P 2c -2n",PON$P2C006$I2A666,
33,Pna21,33:-cba,P21cn,"P -2n 2a",PON$I2C666$P2A600,"Shmueli symbol added by S.G."
33,Pna21,33:a-cb,Pn21a,"P -2ac -2n",PON$I2C606$I2A666,"Shmueli symbol added by S.G."
33,Pna21,33:ba-c,Pbn21,"P 2c -2ab",PON$P2C006$I2A660,"Shmueli symbol added by S.G."
33,Pna21,33:bca,Pc21n,"P -2n -2ac",PON$I2C666$I2A606,"Shmueli symbol added by S.G."
33,Pna21,33:cab,P21nb,"P -2bc 2a",PON$I2C066$P2A600,"Shmueli symbol added by S.G."
34,Pnn2,34,Pnn2,"P 2 -2n",PON$P2C000$I2A666,
34,Pnn2,34:bca,Pn2n,"P -2n -2n",PON$I2C666$I2A666,"Shmueli symbol added by S.G."
34,Pnn2,34:cab,P2nn,"P -2n 2",PON$I2C666$P2A000,"Shmueli symbol added by S.G."
35,Cmm2,35,Cmm2,"C 2 -2",CON$P2C000$I2A000,
35,Cmm2,35:bca,Bm2m,"B -2 -2",BON$I2C000$I2A000,"Shmueli symbol added by S.G."
35,Cmm2,35:cab,A2mm,"A -2 2",AON$I2C000$P2A000,"Shmueli symbol added by S.G."
36,Cmc21,36,Cmc21,"C 2c -2",CON$P2C006$I2A000,
36,Cmc21,36:-cba,A21am,"A -2 2a",AON$I2C000$P2A600,"Shmueli symbol added by S.G."
36,Cmc21,36:a-cb,Bm21b,"B -2b -2",BON$I2C060$I2A000,"Shmueli symbol added by S.G."
36,Cmc21,36:ba-c,Ccm21,"C 2c -2c",CON$P2C006$I2A006,"Shmueli symbol added by S.G."
36,Cmc21,36:bca,Bb21m,"B -2 -2b",BON$I2C000$I2A060,"Shmueli symbol added by S.G."
36,Cmc21,36:cab,A21ma,"A -2a 2a",AON$I2C600$P2A600,"Shmueli symbol added by S.G."
37,Ccc2,37,Ccc2,"C 2 -2c",CON$P2C000$I2A006,
37,Ccc2,37:bca,Bb2b,"B -2b -2b",BON$I2C060$I2A060,"Shmueli symbol added by S.G."
37,Ccc2,37:cab,A2aa,"A -2a 2",AON$I2C600$P2A000,"Shmueli symbol added by S.G."
38,Amm2,38,Amm2,"A 2 -2",AON$P2C000$I2A000,
38,Amm2,38:-cba,C2mm,"C -2 2",CON$I2C000$P2A000,"Shmueli symbol added by S.G."
38,Amm2,38:a-cb,Am2m,"A -2 -2",AON$I2C000$I2A000,"Shmueli symbol added by S.G."
38,Amm2,38:ba-c,Bmm2,"B 2 -2",BON$P2C000$I2A000,"Shmueli symbol added by S.G."
38,Amm2,38:bca,Cm2m,"C -2 -2",CON$I2C000$I2A000,"Shmueli symbol added by S.G."
38,Amm2,38:cab,B2mm,"B -2 2",BON$I2C000$P2A000,"Shmueli symbol added by S.G."
39,Abm2,39,Abm2,"A 2 -2b",AON$P2C000$I2A060,
39,Abm2,39:-cba,C2mb,"C -2a 2",CON$I2C600$P2A000,"Shmueli symbol added by S.G."
39,Abm2,39:a-cb,Ac2m,"A -2b -2b",AON$I2C060$I2A060,"Shmueli symbol added by S.G."
39,Abm2,39:ba-c,Bma2,"B 2 -2a",BON$P2C000$I2A600,"Shmueli symbol added by S.G."
39,Abm2,39:bca,Cm2a,"C -2a -2a",CON$I2C600$I2A600,"Shmueli symbol added by S.G."
39,Abm2,39:cab,B2cm,"B -2a 2",BON$I2C600$P2A000,"Shmueli symbol added by S.G."
40,Ama2,40,Ama2,"A 2 -2a",AON$P2C000$I2A600,
40,Ama2,40:-cba,C2cm,"C -2c 2",CON$I2C006$P2A000,"Shmueli symbol added by S.G."
40,Ama2,40:a-cb,Am2a,"A -2a -2a",AON$I2C600$I2A600,"Shmueli symbol added by S.G."
40,Ama2,40:ba-c,Bbm2,"B 2 -2b",BON$P2C000$I2A060,"Shmueli symbol added by S.G."
40,Ama2,40:bca,Cc2m,"C -2c -2c",CON$I2C006$I2A006,"Shmueli symbol added by S.G."
40,Ama2,40:cab,B2mb,"B -2b 2",BON$I2C060$P2A000,"Shmueli symbol added by S.G."
41,Aba2,41,Aba2,"A 2 -2ab",AON$P2C000$I2A660,
41,Aba2,41:-cba,C2cb,"C -2ac 2",CON$I2C606$P2A000,"Shmueli symbol added by S.G."
41,Aba2,41:a-cb,Ac2a,"A -2ab -2ab",AON$I2C660$I2A660,"Shmueli symbol added by S.G."
41,Aba2,41:ba-c,Bba2,"B 2 -2ab",BON$P2C000$I2A660,"Shmueli symbol added by S.G."
41,Aba2,41:bca,Cc2a,"C -2ac -2ac",CON$I2C606$I2A606,"Shmueli symbol added by S.G."
41,Aba2,41:cab,B2cb,"B -2ab 2",BON$I2C660$P2A000,"Shmueli symbol added by S.G."
42,Fmm2,42,Fmm2,"F 2 -2",FON$P2C000$I2A000,
42,Fmm3,42:bca,Fm2m,"F -2 -2",FON$I2C000$I2A000,"Shmueli symbol added by S.G."
42,Fmm4,42:cab,F2mm,"F -2 2",FON$I2C000$P2A000,"Shmueli symbol added by S.G."
43,Fdd2,43,Fdd2,"F 2 -2d",FON$P2C000$I2A333,
43,Fdd2,43:bca,Fd2d,"F -2d -2d",FON$I2C333$I2A333,"Shmueli symbol added by S.G."
43,Fdd2,43:cab,F2dd,"F -2d 2",FON$I2C333$P2A000,"Shmueli symbol added by S.G."
44,Imm2,44,Imm2,"I 2 -2",ION$P2C000$I2A000,
44,Imm2,44:bca,Im2m,"I -2 -2",ION$I2C000$I2A000,"Shmueli symbol added by S.G."
44,Imm2,44:cab,I2mm,"I -2 2",ION$I2C000$P2A000,"Shmueli symbol added by S.G."
45,Iba2,45,Iba2,"I 2 -2c",ION$P2C000$I2A660,
45,Iba2,45:bca,Ic2a,"I -2b -2b",ION$I2C060$I2A060,"Shmueli symbol added by S.G."
45,Iba2,45:cab,I2cb,"I -2a 2",ION$I2C600$P2A000,"Shmueli symbol added by S.G."
46,Ima2,46,Ima2,"I 2 -2a",ION$P2C000$I2A600,
46,Ima2,46:-cba,I2cm,"I -2c 2",ION$I2C006$P2A000,"Shmueli symbol added by S.G."
46,Ima2,46:a-cb,Im2a,"I -2a -2a",ION$I2C600$I2A600,"Shmueli symbol added by S.G."
46,Ima2,46:ba-c,Ibm2,"I 2 -2b",ION$P2C000$I2A060,"Shmueli symbol added by S.G."
46,Ima2,46:bca,Ic2m,"I -2c -2c",ION$I2C006$I2A006,"Shmueli symbol added by S.G."
46,Ima2,46:cab,I2mb,"I -2b 2",ION$I2C060$P2A000,"Shmueli symbol added by S.G."
47,Pmmm,47,Pmmm,"-P 2 2",POC$I1A000$P2C000$P2A000,
48,Pnnn,48:1,Pnnn:1,"P 2 2 -1n",POC$I1A666$P2C000$P2A000,
48,Pnnn,48:2,Pnnn:2,"-P 2ab 2bc",POC$I1A000$P2C660$P2A066,
49,Pccm,49,Pccm,"-P 2 2c",POC$I1A000$P2C000$P2A006,
49,Pccm,49:bca,Pbmb,"-P 2b 2b",POC$I1A000$P2C060$P2A060,"Shmueli symbol added by S.G."
49,Pccm,49:cab,Pmaa,"-P 2a 2",POC$I1A000$P2C600$P2A000,"Shmueli symbol added by S.G."
50,Pban,50:1,Pban:1,"P 2 2 -1ab",POC$I1A660$P2C000$P2A000,
50,Pban,50:1bca,Pcna:1,"P 2 2 -1ac",POC$I1A606$P2C000$P2A000,"Shmueli symbol added by S.G."
50,Pban,50:1cab,Pncb:1,"P 2 2 -1bc",POC$I1A066$P2C000$P2A000,"Shmueli symbol added by S.G."
50,Pban,50:2,Pban:2,"-P 2ab 2b",POC$I1A000$P2C660$P2A060,
50,Pban,50:2bca,Pcna:2,"-P 2a 2c",POC$I1A000$P2C600$P2A006,"Shmueli symbol added by S.G."
50,Pban,50:2cab,Pncb:2,"-P 2b 2bc",POC$I1A000$P2C060$P2A066,"Shmueli symbol added by S.G."
51,Pmma,51,Pmma,"-P 2a 2a",POC$I1A000$P2C600$P2A600,
51,Pmma,51:-cba,Pcmm,"-P 2c 2c",POC$I1A000$P2C006$P2A006,"Shmueli symbol added by S.G."
51,Pmma,51:a-cb,Pmam,"-P 2 2a",POC$I1A000$P2C000$P2A600,"Shmueli symbol added by S.G."
51,Pmma,51:ba-c,Pmmb,"-P 2b 2",POC$I1A000$P2C060$P2A000,"Shmueli symbol added by S.G."
51,Pmma,51:bca,Pmcm,"-P 2c 2",POC$I1A000$P2C006$P2A000,"Shmueli symbol added by S.G."
51,Pmma,51:cab,Pbmm,"-P 2 2b",POC$I1A000$P2C000$P2A060,"Shmueli symbol added by S.G."
52,Pnna,52,Pnna,"-P 2a 2bc",POC$I1A000$P2C600$P2A066,
52,Pnna,52:-cba,Pcnn,"-P 2ab 2c",POC$I1A000$P2C660$P2A006,"Shmueli symbol added by S.G."
52,Pnna,52:a-cb,Pnan,"-P 2n 2bc",POC$I1A000$P2C666$P2A066,"Shmueli symbol added by S.G."
52,Pnna,52:ba-c,Pnnb,"-P 2b 2n",POC$I1A000$P2C060$P2A666,"Shmueli symbol added by S.G."
52,Pnna,52:bca,Pncn,"-P 2ab 2n",POC$I1A000$P2C660$P2A666,"Shmueli symbol added by S.G."
52,Pnna,52:cab,Pbnn,"-P 2n 2b",POC$I1A000$P2C666$P2A060,"Shmueli symbol added by S.G."
53,Pmna,53,Pmna,"-P 2ac 2",POC$I1A000$P2C606$P2A000,
53,Pmna,53:-cba,Pcnm,"-P 2 2ac",POC$I1A000$P2C000$P2A606,"Shmueli symbol added by S.G."
53,Pmna,53:a-cb,Pman,"-P 2ab 2",POC$I1A000$P2C660$P2A000,"Shmueli symbol added by S.G."
