"ITC No",H-M,n:c,"Univ HM",Hall,Shmueli,Note
53,Pmna,53:ba-c,Pnmb,"-P 2bc 2bc",POC$I1A000$P2C066$P2A066,"Shmueli symbol added by S.G."
53,Pmna,53:bca,Pncm,"-P 2 2bc",POC$I1A000$P2C000$P2A066,"Shmueli symbol added by S.G."
53,Pmna,53:cab,Pbmn,"-P 2ab 2ab",POC$I1A000$P2C660$P2A660,"Shmueli symbol added by S.G."
54,Pcca,54,Pcca,"-P 2a 2ac",POC$I1A000$P2C600$P2A606,
54,Pcca,54:-cba,Pcaa,"-P 2ac 2c",POC$I1A000$P2C606$P2A006,"Shmueli symbol added by S.G."
54,Pcca,54:a-cb,Pbab,"-P 2b 2ab",POC$I1A000$P2C060$P2A660,"Shmueli symbol added by S.G."
54,Pcca,54:ba-c,Pccb,"-P 2b 2c",POC$I1A000$P2C060$P2A006,"Shmueli symbol added by S.G."
54,Pcca,54:bca,Pbcb,"-P 2bc 2b",POC$I1A000$P2C066$P2A060,"Shmueli symbol added by S.G."
54,Pcca,54:cab,Pbaa,"-P 2a 2b",POC$I1A000$P2C600$P2A060,"Shmueli symbol added by S.G."
55,Pbam,55,Pbam,"-P 2 2ab",POC$I1A000$P2C000$P2A660,
55,Pbam,55:bca,Pcma,"-P 2ac 2ac",POC$I1A000$P2C606$P2A606,"Shmueli symbol added by S.G."
55,Pbam,55:cab,Pmcb,"-P 2bc 2",POC$I1A000$P2C066$P2A000,"Shmueli symbol added by S.G."
56,Pccn,56,Pccn,"-P 2ab 2ac",POC$I1A000$P2C660$P2A606,
56,Pccn,56:bca,Pbnb,"-P 2bc 2ab",POC$I1A000$P2C066$P2A660,"Shmueli symbol added by S.G."
56,Pccn,56:cab,Pnaa,"-P 2ac 2bc",POC$I1A000$P2C606$P2A066,"Shmueli symbol added by S.G."
57,Pbcm,57,Pbcm,"-P 2c 2b",POC$I1A000$P2C006$P2A060,
57,Pbcm,57:-cba,Pmab,"-P 2b 2a",POC$I1A000$P2C060$P2A600,"Shmueli symbol added by S.G."
57,Pbcm,57:a-cb,Pcmb,"-P 2bc 2c",POC$I1A000$P2C066$P2A006,"Shmueli symbol added by S.G."
57,Pbcm,57:ba-c,Pcam,"-P 2c 2ac",POC$I1A000$P2C006$P2A606,"Shmueli symbol added by S.G."
57,Pbcm,57:bca,Pbma,"-P 2a 2ab",POC$I1A000$P2C600$P2A660,"Shmueli symbol added by S.G."
57,Pbcm,57:cab,Pmca,"-P 2ac 2a",POC$I1A000$P2C606$P2A600,"Shmueli symbol added by S.G."
58,Pnnm,58,Pnnm,"-P 2 2n",POC$I1A000$P2C000$P2A666,
58,Pnnm,58:bca,Pnmn,"-P 2n 2n",POC$I1A000$P2C666$P2A666,"Shmueli symbol added by S.G."
58,Pnnm,58:cab,Pmnn,"-P 2n 2",POC$I1A000$P2C666$P2A000,"Shmueli symbol added by S.G."
59,Pmmn,59:1,Pmmn:1,"P 2 2ab -1ab",POC$I1A660$P2C000$P2A660,
59,Pmmn,59:1bca,Pmnm:1,"P 2ac 2ac -1ac",POC$I1A606$P2C606$P2A606,"Shmueli symbol added by S.G."
59,Pmmn,59:1cab,Pnmm:1,"P 2bc 2 -1bc",POC$I1A066$P2C066$P2A000,"Shmueli symbol added by S.G."
59,Pmmn,59:2,Pmmn:2,"-P 2ab 2a",POC$I1A000$P2C660$P2A600,
59,Pmmn,59:2bca,Pmnm:2,"-P 2c 2a",POC$I1A000$P2C006$P2A600,"Shmueli symbol added by S.G."
59,Pmmn,59:2cab,Pnmm:2,"-P 2c 2bc",POC$I1A000$P2C006$P2A066,"Shmueli symbol added by S.G."
60,Pbcn,60,Pbcn,"-P 2n 2ab",POC$I1A000$P2C666$P2A660,
60,Pbcn,60:-cba,Pnab,"-P 2bc 2n",POC$I1A000$P2C066$P2A666,"Shmueli symbol added by S.G."
60,Pbcn,60:a-cb,Pcnb,"-P 2b 2ac",POC$I1A000$P2C060$P2A606,"Shmueli symbol added by S.G."
60,Pbcn,60:ba-c,Pcan,"-P 2n 2c",POC$I1A000$P2C666$P2A006,"Shmueli symbol added by S.G."
60,Pbcn,60:bca,Pbna,"-P 2ac 2b",POC$I1A000$P2C606$P2A060,"Shmueli symbol added by S.G."
60,Pbcn,60:cab,Pnca,"-P 2a 2n",POC$I1A000$P2C600$P2A666,"Shmueli symbol added by S.G."
61,Pbca,61,Pbca,"-P 2ac 2ab",POC$I1A000$P2C606$P2A660,
61,Pbca,61:ba-c,Pcab,"-P 2bc 2ac",POC$I1A000$P2C066$P2A606,"Shmueli symbol added by S.G."
62,Pnma,62,Pnma,"-P 2ac 2n",POC$I1A000$P2C606$P2A666,
62,Pnma,62:-cba,Pcmn,"-P 2n 2ac",POC$I1A000$P2C666$P2A606,"Shmueli symbol added by S.G."
62,Pnma,62:a-cb,Pnam,"-P 2c 2n",POC$I1A000$P2C006$P2A666,"Shmueli symbol added by S.G."
62,Pnma,62:ba-c,Pmnb,"-P 2bc 2a",POC$I1A000$P2C066$P2A600,"Shmueli symbol added by S.G."
62,Pnma,62:bca,Pmcn,"-P 2n 2a",POC$I1A000$P2C666$P2A600,"Shmueli symbol added by S.G."
62,Pnma,62:cab,Pbnm,"-P 2c 2ab",POC$I1A000$P2C006$P2A660,"Shmueli symbol added by S.G."
63,Cmcm,63,Cmcm,"-C 2c 2",COC$I1A000$P2C006$P2A000,
63,Cmcm,63:-cba,Amam,"-A 2 2a",AOC$I1A000$P2C000$P2A600,"Shmueli symbol added by S.G."
63,Cmcm,63:a-cb,Bmmb,"-B 2b 2",BOC$I1A000$P2C060$P2A000,"Shmueli symbol added by S.G."
63,Cmcm,63:ba-c,Ccmm,"-C 2c 2c",COC$I1A000$P2C006$P2A006,"Shmueli symbol added by S.G."
63,Cmcm,63:bca,Bbmm,"-B 2 2b",BOC$I1A000$P2C000$P2A060,"Shmueli symbol added by S.G."
63,Cmcm,63:cab,Amma,"-A 2a 2a",AOC$I1A000$P2C600$P2A600,"Shmueli symbol added by S.G."
64,Cmca,64,Cmca,"-C 2ac 2",COC$I1A000$P2C066$P2A000,
64,Cmca,64:-cba,Acam,"-A 2 2ab",AOC$I1A000$P2C000$P2A660,"Shmueli symbol added by S.G."
64,Cmca,64:a-cb,Bmab,"-B 2ab 2",BOC$I1A000$P2C660$P2A000,"Shmueli symbol added by S.G."
64,Cmca,64:ba-c,Ccmb,"-C 2ac 2ac",COC$I1A000$P2C606$P2A606,"Shmueli symbol added by S.G."
64,Cmca,64:bca,Bbcm,"-B 2 2ab",BOC$I1A000$P2C000$P2A660,"Shmueli symbol added by S.G."
64,Cmca,64:cab,Abma,"-A 2ab 2ab",AOC$I1A000$P2C660$P2A660,"Shmueli symbol added by S.G."
65,Cmmm,65,Cmmm,"-C 2 2",COC$I1A000$P2C000$P2A000,
65,Cmmm,65:bca,Bmmm,"-B 2 2",BOC$I1A000$P2C000$P2A000,"Shmueli symbol added by S.G."
65,Cmmm,65:cab,Ammm,"-A 2 2",AOC$I1A000$P2C000$P2A000,"Shmueli symbol added by S.G."
66,Cccm,66,Cccm,"-C 2 2c",COC$I1A000$P2C000$P2A006,
66,Cccm,66:bca,Bbmb,"-B 2b 2b",BOC$I1A000$P2C060$P2A060,"Shmueli symbol added by S.G."
66,Cccm,66:cab,Amaa,"-A 2a 2",AOC$I1A000$P2C600$P2A000,"Shmueli symbol added by S.G."
67,Cmma,67,Cmma,"-C 2a 2",COC$I1A000$P2C060$P2A000,
67,Cmma,67:-cba,Acmm,"-A 2 2b",AOC$I1A000$P2C000$P2A060,"Shmueli symbol added by S.G."
67,Cmma,67:a-cb,Bmam,"-B 2a 2",BOC$I1A000$P2C600$P2A000,"Shmueli symbol added by S.G."
67,Cmma,67:ba-c,Cmmb,"-C 2a 2a",COC$I1A000$P2C060$P2A060,"Shmueli symbol added by S.G."
67,Cmma,67:bca,Bmcm,"-B 2 2a",BOC$I1A000$P2C000$P2A600,"Shmueli symbol added by S.G."
67,Cmma,67:cab,Abmm,"-A 2b 2b",AOC$I1A000$P2C060$P2A060,"Shmueli symbol added by S.G."
68,Ccca,68:1,Ccca:1,"C 2 2 -1ac",COC$I1A066$P2C660$P2A660,
68,Ccca,68:1-cba,Acaa:1,"A 2 2 -1ab",AOC$I1A660$P2C000$P2A000,"Shmueli symbol added by S.G."
68,Ccca,68:1a-cb,Bbab:1,"B 2 2 -1ab",BOC$I1A660$P2C000$P2A000,"Shmueli symbol added by S.G."
68,Ccca,68:1ba-c,Cccb:1,"C 2 2 -1ac",COC$I1A606$P2C000$P2A000,"Shmueli symbol added by S.G.; alternative to COC$I1A066$P2C660$P2A660"
68,Ccca,68:1bca,Bbcb:1,"B 2 2 -1ab",BOC$I1A660$P2C000$P2A000,"Shmueli symbol added by S.G."
68,Ccca,68:1cab,Abaa:1,"A 2 2 -1ab",AOC$I1A660$P2C000$P2A000,"Shmueli symbol added by S.G."
68,Ccca,68:2,Ccca:2,"-C 2a 2ac",COC$I1A000$P2C600$P2A606,
68,Ccca,68:2-cba,Acaa:2,"-A 2ab 2b",AOC$I1A000$P2C660$P2A060,"Shmueli symbol added by S.G."
68,Ccca,68:2a-cb,Bbab:2,"-B 2b 2ab",BOC$I1A000$P2C060$P2A660,"Shmueli symbol added by S.G."
68,Ccca,68:2ba-c,Cccb:2,"-C 2a 2c",COC$I1A000$P2C600$P2A006,"Shmueli symbol added by S.G."
68,Ccca,68:2bca,Bbcb:2,"-B 2ab 2b",BOC$I1A000$P2C660$P2A060,"Shmueli symbol added by S.G."
68,Ccca,68:2cab,Abaa:2,"-A 2a 2b",AOC$I1A000$P2C600$P2A060,"Shmueli symbol added by S.G."
69,Fmmm,69,Fmmm,"-F 2 2",FOC$I1A000$P2C000$P2A000,
70,Fddd,70:1,Fddd:1,"F 2 2 -1d",FOC$I1A333$P2C000$P2A000,
70,Fddd,70:2,Fddd:2,"-F 2uv 2vw",FOC$I1A000$P2C990$P2A099,
71,Immm,71,Immm,"-I 2 2",IOC$I1A000$P2C000$P2A000,
72,Ibam,72,Ibam,"-I 2 2c",IOC$I1A000$P2C000$P2A660,
72,Ibam,72:bca,Icma,"-I 2b 2b",IOC$I1A000$P2C060$P2A060,"Shmueli symbol added by S.G."
72,Ibam,72:cab,Imcb,"-I 2a 2",IOC$I1A000$P2C600$P2A000,"Shmueli symbol added by S.G."
73,Ibca,73,Ibca,"-I 2b 2c",IOC$I1A000$P2C606$P2A660,
73,Ibca,73:ba-c,Icab,"-I 2a 2b",IOC$I1A000$P2C600$P2A060,"Shmueli symbol added by S.G."
74,Imma,74,Imma,"-I 2b 2",IOC$I1A000$P2C060$P2A000,
74,Imma,74:-cba,Icmm,"-I 2 2b",IOC$I1A000$P2C000$P2A060,"Shmueli symbol added by S.G."
74,Imma,74:a-cb,Imam,"-I 2c 2",IOC$I1A000$P2C006$P2A000,"Shmueli symbol added by S.G."
74,Imma,74:ba-c,Immb,"-I 2a 2a",IOC$I1A000$P2C600$P2A600,"Shmueli symbol added by S.G."
74,Imma,74:bca,Imcm,"-I 2 2a",IOC$I1A000$P2C000$P2A600,"Shmueli symbol added by S.G."
74,Imma,74:cab,Ibmm,"-I 2c 2c",IOC$I1A000$P2C006$P2A006,"Shmueli symbol added by S.G."
75,P4,75,P4,"P 4",PTN$P4C000,
76,P41,76,P41,"P 4w",PTN$P4C003,
77,P42,77,P42,"P 4c",PTN$P4C006,
78,P43,78,P43,"P 4cw",PTN$P4C009,
79,I4,79,I4,"I 4",ITN$P4C000,
80,I41,80,I41,"I 4bw",ITN$P4C063,
81,P-4,81,P-4,"P -4",PTN$I4C000,
82,I-4,82,I-4,"I -4",ITN$I4C000,
83,P4/m,83,P4/m,"-P 4",PTC$I1A000$P4C000,
84,P42/m,84,P42/m,"-P 4c",PTC$I1A000$P4C006,
85,P4/n,85:1,P4/n:1,"P 4ab -1ab",PTC$I1A660$P4C660,
85,P4/n,85:2,P4/n:2,"-P 4a",PTC$I1A000$P4C600,
86,P42/n,86:1,P42/n:1,"P 4n -1n",PTC$I1A666$P4C666,
86,P42/n,86:2,P42/n:2,"-P 4bc",PTC$I1A000$P4C066,
87,I4/m,87,I4/m,"-I 4",ITC$I1A000$P4C000,
88,I41/a,88:1,I41/a:1,"I 4bw -1bw",ITC$I1A063$P4C063,
88,I41/a,88:2,I41/a:2,"-I 4ad",ITC$I1A000$P4C933,
89,P422,89,P422,"P 4 2",PTN$P4C000$P2A000,
90,P4212,90,P4212,"P 4ab 2ab",PTN$P4C660$P2A660,
91,P4122,91,P4122,"P 4w 2c",PTN$P4C003$P2A006,
92,P41212,92,P41212,"P 4abw 2nw",PTN$P4C663$P2A669,
93,P4222,93,P4222,"P 4c 2",PTN$P4C006$P2A000,
94,P42212,94,P42212,"P 4n 2n",PTN$P4C666$P2A666,
95,P4322,95,P4322,"P 4cw 2c",PTN$P4C009$P2A006,
96,P43212,96,P43212,"P 4nw 2abw",PTN$P4C669$P2A663,
97,I422,97,I422,"I 4 2",ITN$P4C000$P2A000,
98,I4122,98,I4122,"I 4bw 2bw",ITN$P4C063$P2A063,
99,P4mm,99,P4mm,"P 4 -2",PTN$P4C000$I2A000,
100,P4bm,100,P4bm,"P 4 -2ab",PTN$P4C000$I2A660,
101,P42cm,101,P42cm,"P 4c -2c",PTN$P4C006$I2A006,
102,P42nm,102,P42nm,"P 4n -2n",PTN$P4C666$I2A666,
103,P4cc,103,P4cc,"P 4 -2c",PTN$P4C000$I2A006,
104,P4nc,104,P4nc,"P 4 -2n",PTN$P4C000$I2A666,
105,P42mc,105,P42mc,"P 4c -2",PTN$P4C006$I2A000,
106,P42bc,106,P42bc,"P 4c -2ab",PTN$P4C006$I2A660,
107,I4mm,107,I4mm,"I 4 -2",ITN$P4C000$I2A000,
108,I4cm,108,I4cm,"I 4 -2c",ITN$P4C000$I2A006,
109,I41md,109,I41md,"I 4bw -2",ITN$P4C063$I2A666,
110,I41cd,110,I41cd,"I 4bw -2c",ITN$P4C063$I2A660,
111,P-42m,111,P-42m,"P -4 2",PTN$I4C000$P2A000,
112,P-42c,112,P-42c,"P -4 2c",PTN$I4C000$P2A006,
113,P-421m,113,P-421m,"P -4 2ab",PTN$I4C000$P2A660,
114,P-421c,114,P-421c,"P -4 2n",PTN$I4C000$P2A666,
115,P-4m2,115,P-4m2,"P -4 -2",PTN$I4C000$P2D000,
116,P-4c2,116,P-4c2,"P -4 -2c",PTN$I4C000$P2D006,
117,P-4b2,117,P-4b2,"P -4 -2ab",PTN$I4C000$P2D660,
118,P-4n2,118,P-4n2,"P -4 -2n",PTN$I4C000$P2D666,
119,I-4m2,119,I-4m2,"I -4 -2",ITN$I4C000$P2D000,
120,I-4c2,120,I-4c2,"I -4 -2c",ITN$I4C000$P2D006,
121,I-42m,121,I-42m,"I -4 2",ITN$I4C000$P2A000,
122,I-42d,122,I-42d,"I -4 2bw",ITN$I4C000$P2A609,
123,P4/mmm,123,P4/mmm,"-P 4 2",PTC$I1A000$P4C000$P2A000,
124,P4/mcc,124,P4/mcc,"-P 4 2c",PTC$I1A000$P4C000$P2A006,
125,P4/nbm,125:1,P4/nbm:1,"P 4 2 -1ab",PTC$I1A660$P4C000$P2A000,
125,P4/nbm,125:2,P4/nbm:2,"-P 4a 2b",PTC$I1A000$P4C600$P2A060,
126,P4/nnc,126:1,P4/nnc:1,"P 4 2 -1n",PTC$I1A666$P4C000$P2A000,
126,P4/nnc,126:2,P4/nnc:2,"-P 4a 2bc",PTC$I1A000$P4C600$P2A066,
127,P4/mbm,127,P4/mbm,"-P 4 2ab",PTC$I1A000$P4C000$P2A660,
128,P4/mnc,128,P4/mnc,"-P 4 2n",PTC$I1A000$P4C000$P2A666,
129,P4/nmm,129:1,P4/nmm:1,"P 4ab 2ab -1ab",PTC$I1A660$P4C660$P2A660,
129,P4/nmm,129:2,P4/nmm:2,"-P 4a 2a",PTC$I1A000$P4C600$P2A600,
130,P4/ncc,130:1,P4/ncc:1,"P 4ab 2n -1ab",PTC$I1A660$P4C660$P2A666,
130,P4/ncc,130:2,P4/ncc:2,"-P 4a 2ac",PTC$I1A000$P4C600$P2A606,
131,P42/mmc,131,P42/mmc,"-P 4c 2",PTC$I1A000$P4C006$P2A000,
132,P42/mcm,132,P42/mcm,"-P 4c 2c",PTC$I1A000$P4C006$P2A006,
133,P42/nbc,133:1,P42/nbc:1,"P 4n 2c -1n",PTC$I1A666$P4C666$P2A006,
133,P42/nbc,133:2,P42/nbc:2,"-P 4ac 2b",PTC$I1A000$P4C606$P2A060,
134,P42/nnm,134:1,P42/nnm:1,"P 4n 2 -1n",PTC$I1A666$P4C666$P2A000,
134,P42/nnm,134:2,P42/nnm:2,"-P 4ac 2bc",PTC$I1A000$P4C606$P2A066,
135,P42/mbc,135,P42/mbc,"-P 4c 2ab",PTC$I1A000$P4C006$P2A660,
136,P42/mnm,136,P42/mnm,"-P 4n 2n",PTC$I1A000$P4C666$P2A666,
137,P42/nmc,137:1,P42/nmc:1,"P 4n 2n -1n",PTC$I1A666$P4C666$P2A666,
137,P42/nmc,137:2,P42/nmc:2,"-P 4ac 2a",PTC$I1A000$P4C606$P2A600,
138,P42/ncm,138:1,P42/ncm:1,"P 4n 2ab -1n",PTC$I1A666$P4C666$P2A660,
138,P42/ncm,138:2,P42/ncm:2,"-P 4ac 2ac",PTC$I1A000$P4C606$P2A606,
139,I4/mmm,139,I4/mmm,"-I 4 2",ITC$I1A000$P4C000$P2A000,
140,I4/mcm,140,I4/mcm,"-I 4 2c",ITC$I1A000$P4C000$P2A006,
141,I41/amd,141:1,I41/amd:1,"I 4bw 2bw -1bw",ITC$I1A063$P4C063$P2A063,
141,I41/amd,141:2,I41/amd:2,"-I 4bd 2",ITC$I1A000$P4C393$P2A000,
142,I41/acd,142:1,I41/acd:1,"I 4bw 2aw -1bw",ITC$I1A063$P4C063$P2A069,
142,I41/acd,142:2,I41/acd:2,"-I 4bd 2c",ITC$I1A000$P4C393$P2A006,
143,P3,143,P3,"P 3",PRN$P3C000,
144,P31,144,P31,"P 31",PRN$P3C004,
145,P32,145,P32,"P 32",PRN$P3C008,
146,R3,146:H,R3:H,"R 3",RRN$P3C000,
146,R3,146:R,R3:R,"P 3*",PRN$P3Q000,
147,P-3,147,P-3,"-P 3",PRC$I3C000,
148,R-3,148:H,R-3:H,"-R 3",RRC$I3C000,
148,R-3,148:R,R-3:R,"-P 3*",PRC$I3Q000,
149,P312,149,P312,"P 3 2",PRN$P3C000$P2G000,
150,P321,150,P321,"P 3 2""",PRN$P3C000$P2F000,
151,P3112,151,P3112,"P 31 2 (0 0 4)",PRN$P3C004$P2G000,
152,P3121,152,P3121,"P 31 2""",PRN$P3C004$P2F008,
153,P3212,153,P3212,"P 32 2 (0 0 2)",PRN$P3C008$P2G000,
154,P3221,154,P3221,"P 32 2""",PRN$P3C008$P2F004,
155,R32,155:H,R32:H,"R 3 2""",RRN$P3C000$P2F000,
155,R32,155:R,R32:R,"P 3* 2",PRN$P3Q000$P2E000,
156,P3m1,156,P3m1,"P 3 -2""",PRN$P3C000$I2F000,
157,P31m,157,P31m,"P 3 -2",PRN$P3C000$I2G000,
158,P3c1,158,P3c1,"P 3 -2""c",PRN$P3C000$I2F006,
159,P31c,159,P31c,"P 3 -2c",PRN$P3C000$I2G006,
160,R3m,160:H,R3m:H,"R 3 -2""",RRN$P3C000$I2F000,
160,R3m,160:R,R3m:R,"P 3* -2",PRN$P3Q000$I2E000,
161,R3c,161:H,R3c:H,"R 3 -2""c",RRN$P3C000$I2F006,
161,R3c,161:R,R3c:R,"P 3* -2n",PRN$P3Q000$I2E666,
162,P-31m,162,P-31m,"-P 3 2",PRC$I3C000$P2G000,
163,P-31c,163,P-31c,"-P 3 2c",PRC$I3C000$P2G006,
164,P-3m1,164,P-3m1,"-P 3 2""",PRC$I3C000$P2F000,
165,P-3c1,165,P-3c1,"-P 3 2""c",PRC$I3C000$P2F006,
166,R-3m,166:H,R-3m:H,"-R 3 2""",RRC$I3C000$P2F000,
166,R-3m,166:R,R-3m:R,"-P 3* 2",PRC$I3Q000$P2E000,
167,R-3c,167:H,R-3c:H,"-R 3 2""c",RRC$I3C000$P2F006,
167,R-3c,167:R,R-3c:R,"-P 3* 2n",PRC$I3Q000$P2E666,
168,P6,168,P6,"P 6",PHN$P6C000,
169,P61,169,P61,"P 61",PHN$P6C002,
170,P65,170,P65,"P 65",PHN$P6C005,
171,P62,171,P62,"P 62",PHN$P6C004,
172,P64,172,P64,"P 64",PHN$P6C008,
173,P63,173,P63,"P 6c",PHN$P6C006,
174,P-6,174,P-6,"P -6",PHN$I6C000,
175,P6/m,175,P6/m,"-P 6",PHC$I1A000$P6C000,
176,P63/m,176,P63/m,"-P 6c",PHC$I1A000$P6C006,
177,P622,177,P622,"P 6 2",PHN$P6C000$P2F000,
178,P6122,178,P6122,"P 61 2 (0 0 5)",PHN$P6C002$P2F000,
179,P6522,179,P6522,"P 65 2 (0 0 1)",PHN$P6C005$P2F000,
180,P6222,180,P6222,"P 62 2 (0 0 4)",PHN$P6C004$P2F000,
181,P6422,181,P6422,"P 64 2 (0 0 2)",PHN$P6C008$P2F000,
182,P6322,182,P6322,"P 6c 2c",PHN$P6C006$P2F000,
183,P6mm,183,P6mm,"P 6 -2",PHN$P6C000$I2F000,
184,P6cc,184,P6cc,"P 6 -2c",PHN$P6C000$I2F006,
185,P63cm,185,P63cm,"P 6c -2",PHN$P6C006$I2F006,
186,P63mc,186,P63mc,"P 6c -2c",PHN$P6C006$I2F000,
187,P-6m2,187,P-6m2,"P -6 2",PHN$I6C000$P2G000,
188,P-6c2,188,P-6c2,"P -6c 2",PHN$I6C006$P2G000,
189,P-62m,189,P-62m,"P -6 -2",PHN$I6C000$P2F000,
190,P-62c,190,P-62c,"P -6c -2c",PHN$I6C006$P2F000,
191,P6/mmm,191,P6/mmm,"-P 6 2",PHC$I1A000$P6C000$P2F000,
192,P6/mcc,192,P6/mcc,"-P 6 2c",PHC$I1A000$P6C000$P2F006,
193,P63/mcm,193,P63/mcm,"-P 6c 2",PHC$I1A000$P6C006$P2F006,
194,P63/mmc,194,P63/mmc,"-P 6c 2c",PHC$I1A000$P6C006$P2F000,
195,P23,195,P23,"P 2 2 3",PCN$P3Q000$P2C000$P2A000,
196,F23,196,F23,"F 2 2 3",FCN$P3Q000$P2C000$P2A000,
197,I23,197,I23,"I 2 2 3",ICN$P3Q000$P2C000$P2A000,
198,P213,198,P213,"P 2ac 2ab 3",PCN$P3Q000$P2C606$P2A660,
199,I213,199,I213,"I 2b 2c 3",ICN$P3Q000$P2C606$P2A660,
200,Pm-3,200,Pm-3,"-P 2 2 3",PCC$I3Q000$P2C000$P2A000,
201,Pn-3,201:1,Pn-3:1,"P 2 2 3 -1n",PCC$I3Q666$P2C000$P2A000,
201,Pn-3,201:2,Pn-3:2,"-P 2ab 2bc 3",PCC$I3Q000$P2C660$P2A066,
202,Fm-3,202,Fm-3,"-F 2 2 3",FCC$I3Q000$P2C000$P2A000,
203,Fd-3,203:1,Fd-3:1,"F 2 2 3 -1d",FCC$I3Q333$P2C000$P2A000,
203,Fd-3,203:2,Fd-3:2,"-F 2uv 2vw 3",FCC$I3Q000$P2C330$P2A033,
204,Im-3,204,Im-3,"-I 2 2 3",ICC$I3Q000$P2C000$P2A000,
205,Pa-3,205,Pa-3,"-P 2ac 2ab 3",PCC$I3Q000$P2C606$P2A660,
206,Ia-3,206,Ia-3,"-I 2b 2c 3",ICC$I3Q000$P2C606$P2A660,
207,P432,207,P432,"P 4 2 3",PCN$P3Q000$P4C000$P2D000,
208,P4232,208,P4232,"P 4n 2 3",PCN$P3Q000$P4C666$P2D666,
209,F432,209,F432,"F 4 2 3",FCN$P3Q000$P4C000$P2D000,
210,F4132,210,F4132,"F 4d 2 3",FCN$P3Q000$P4C993$P2D939,
211,I432,211,I432,"I 4 2 3",ICN$P3Q000$P4C000$P2D000,
212,P4332,212,P4332,"P 4acd 2ab 3",PCN$P3Q000$P4C939$P2D399,
213,P4132,213,P4132,"P 4bd 2ab 3",PCN$P3Q000$P4C393$P2D933,
214,I4132,214,I4132,"I 4bd 2c 3",ICN$P3Q000$P4C393$P2D933,
215,P-43m,215,P-43m,"P -4 2 3",PCN$P3Q000$I4C000$I2D000,
216,F-43m,216,F-43m,"F -4 2 3",FCN$P3Q000$I4C000$I2D000,
217,I-43m,217,I-43m,"I -4 2 3",ICN$P3Q000$I4C000$I2D000,
218,P-43n,218,P-43n,"P -4n 2 3",PCN$P3Q000$I4C666$I2D666,
219,F-43c,219,F-43c,"F -4a 2 3",FCN$P3Q000$I4C666$I2D666,
220,I-43d,220,I-43d,"I -4bd 2c 3",ICN$P3Q000$I4C939$I2D399,
221,Pm-3m,221,Pm-3m,"-P 4 2 3",PCC$I3Q000$P4C000$P2D000,
222,Pn-3n,222:1,Pn-3n:1,"P 4 2 3 -1n",PCC$I3Q666$P4C000$P2D000,
222,Pn-3n,222:2,Pn-3n:2,"-P 4a 2bc 3",PCC$I3Q000$P4C600$P2D006,
223,Pm-3n,223,Pm-3n,"-P 4n 2 3",PCC$I3Q000$P4C666$P2D666,
224,Pn-3m,224:1,Pn-3m:1,"P 4n 2 3 -1n",PCC$I3Q666$P4C666$P2D666,
224,Pn-3m,224:2,Pn-3m:2,"-P 4bc 2bc 3",PCC$I3Q000$P4C066$P2D660,
225,Fm-3m,225,Fm-3m,"-F 4 2 3",FCC$I3Q000$P4C000$P2D000,
226,Fm-3c,226,Fm-3c,"-F 4a 2 3",FCC$I3Q000$P4C666$P2D666,
227,Fd-3m,227:1,Fd-3m:1,"F 4d 2 3 -1d",FCC$I3Q333$P4C993$P2D939,
227,Fd-3m,227:2,Fd-3m:2,"-F 4vw 2vw 3",FCC$I3Q000$P4C693$P2D936,
228,Fd-3c,228:1,Fd-3c:1,"F 4d 2 3 -1ad",FCC$I3Q999$P4C993$P2D939,
228,Fd-3c,228:2,Fd-3c:2,"-F 4ud 2vw 3",FCC$I3Q000$P4C093$P2D930,
229,Im-3m,229,Im-3m,"-I 4 2 3",ICC$I3Q000$P4C000$P2D000,
230,Ia-3d,230,Ia-3d,"-I 4bd 2c 3",ICC$I3Q000$P4C393$P2D933,
